Başlık,Not,URL,Etiketler,Yorum
Pierre Loti,,https://www.google.com/maps/place/Pierre+Loti/data=!4m2!3m1!1s0x14cab0bc91962471:0xf3ac6785d31bb924,,
İstanbul Sihir Müzesi / Sihirbaz Okulu,,https://www.google.com/maps/place/%C4%B0stanbul+Sihir+M%C3%BCzesi+%2F+Sihirbaz+Okulu/data=!4m2!3m1!1s0x14cab7aadf92a6f9:0x3451d248f340c5a,,
Madame Tussauds Istanbul,,https://www.google.com/maps/place/Madame+Tussauds+Istanbul/data=!4m2!3m1!1s0x14cab76122cb22fb:0x1a473469122f9215,,
İllüzyon Müzesi,,https://www.google.com/maps/place/%C4%B0ll%C3%BCzyon+M%C3%BCzesi/data=!4m2!3m1!1s0x14cab94f5a64b84b:0xa0491e2bb94b0aba,,
Beyoğlu Spor Kulübü,,https://www.google.com/maps/place/Beyo%C4%9Flu+Spor+Kul%C3%BCb%C3%BC/data=!4m2!3m1!1s0x14cab763fa5d84cb:0xee76bfb5e287cf8f,,
Miniatürk,,https://www.google.com/maps/place/Miniat%C3%BCrk/data=!4m2!3m1!1s0x14cab0ca49006bf5:0x3189508ccec2d71c,,
İstanbul Kelebek Çiftliği,,https://www.google.com/maps/place/%C4%B0stanbul+Kelebek+%C3%87iftli%C4%9Fi/data=!4m2!3m1!1s0x14cacb6dc5a1e271:0xe82279aef9b486a0,,
İBB Silivrikapı Buz Pisti ve Spor Tesisi,,https://www.google.com/maps/place/%C4%B0BB+Silivrikap%C4%B1+Buz+Pisti+ve+Spor+Tesisi/data=!4m2!3m1!1s0x14cabbb11b45f68f:0x4982485ec156d5e3,,
Fatih Belediyesi Kano ve Kürek Sporları Merkezi,,https://www.google.com/maps/place/Fatih+Belediyesi+Kano+ve+K%C3%BCrek+Sporlar%C4%B1+Merkezi/data=!4m2!3m1!1s0x14cabbb6c24d977b:0xa89610d6aac2f997,,
Deepist Dalış Merkezi,,https://www.google.com/maps/place/Deepist+Dal%C4%B1%C5%9F+Merkezi/data=!4m2!3m1!1s0x14cab6413b1d60a7:0x474000e4cbbcab9e,,
ReflexPoint,,https://www.google.com/maps/place/ReflexPoint/data=!4m2!3m1!1s0x14cab672807b5cb5:0x46868fcbfe269429,,
Xtrem Aventures İstanbul,,https://www.google.com/maps/place/Xtrem+Aventures+%C4%B0stanbul/data=!4m2!3m1!1s0x14cab5ce614c8c0b:0xbc2b6c860be8a440,,
Mas Park İstinye Go Kart,,https://www.google.com/maps/place/Mas+Park+%C4%B0stinye+Go+Kart/data=!4m2!3m1!1s0x14caca7086ba094d:0xcd44c6a6dc0c60ce,,
İstanbul Atlı Spor Kulübü,,https://www.google.com/maps/place/%C4%B0stanbul+Atl%C4%B1+Spor+Kul%C3%BCb%C3%BC/data=!4m2!3m1!1s0x14cab5ea505a1767:0x4cee0cf34135913c,,
Escapist,,https://www.google.com/maps/place/Escapist/data=!4m2!3m1!1s0x14cab6fc3e36bf8d:0xf3b3ee46a1e6a44b,,
Fiz Seramik Atölyesi,,https://www.google.com/maps/place/Fiz+Seramik+At%C3%B6lyesi/data=!4m2!3m1!1s0x14cab70ddd263caf:0xe174527e6de0892f,,
